Day,Month,Year,Regulated,Natural
1,1,1925,10.21,10.55468748
2,1,1925,10.216,10.57381088
3,1,1925,10.238,10.59832023
4,1,1925,10.244,10.62841736
5,1,1925,10.259,10.66376793
6,1,1925,10.26,10.70294888
7,1,1925,10.266,10.7450198
8,1,1925,10.288,10.7886508
9,1,1925,10.296,10.83239236
10,1,1925,10.318,10.87523398
11,1,1925,10.324,10.91614254
12,1,1925,10.344,10.95455678
13,1,1925,10.372,10.98997744
14,1,1925,10.394,11.0221103
15,1,1925,10.418,11.05090749
16,1,1925,10.42,11.0759787
17,1,1925,10.424,11.09683832
18,1,1925,10.439,11.11266314
19,1,1925,10.44,11.1225318
20,1,1925,10.446,11.12546508
21,1,1925,10.468,11.12079998
22,1,1925,10.464,11.10808416
23,1,1925,10.442,11.08697435
24,1,1925,10.44,11.06331064
25,1,1925,10.436,11.02475177
26,1,1925,10.416,10.97441381
27,1,1925,10.382,10.91634168
28,1,1925,10.334,10.84388547
29,1,1925,10.274,10.7601403
30,1,1925,10.178,10.66252525
31,1,1925,10.076,10.54621216
1,2,1925,9.958,10.41628227
2,2,1925,9.811,10.28177765
3,2,1925,9.661,10.14447108
4,2,1925,9.505,9.999982205
5,2,1925,9.324,9.838870184
6,2,1925,9.133,9.654531737
7,2,1925,8.978,9.458789245
8,2,1925,8.853,9.282589155
9,2,1925,8.724,9.154435709
10,2,1925,8.609,9.079951705
11,2,1925,8.554,9.046343667
12,2,1925,8.51,9.038207766
13,2,1925,8.486,9.044578301
14,2,1925,8.458,9.059259118
15,2,1925,8.441,9.078695033
16,2,1925,8.444,9.10072639
17,2,1925,8.459,9.124022072
18,2,1925,8.46,9.147574393
19,2,1925,8.46,9.170447374
20,2,1925,8.466,9.191900095
21,2,1925,8.488,9.211321808
22,2,1925,8.49,9.227982
23,2,1925,8.484,9.241647712
24,2,1925,8.462,9.252331673
25,2,1925,8.456,9.260043848
26,2,1925,8.441,9.26460651
27,2,1925,8.434,9.265777651
28,2,1925,8.398,9.262633736
1,3,1925,8.333,9.255664099
2,3,1925,8.271,9.2404118
3,3,1925,8.205,9.21497838
4,3,1925,8.142,9.17648382
5,3,1925,8.044,9.123709325
6,3,1925,7.979,9.058503555
7,3,1925,7.942,8.985384163
8,3,1925,7.894,8.910004093
9,3,1925,7.85,8.839083391
10,3,1925,7.826,8.777322248
11,3,1925,7.796,8.725151974
12,3,1925,7.772,8.68056475
13,3,1925,7.766,8.640577855
14,3,1925,7.748,8.601955193
15,3,1925,7.72,8.561543168
16,3,1925,7.67,8.516670958
17,3,1925,7.646,8.465486902
18,3,1925,7.618,8.407303231
19,3,1925,7.596,8.343496291
20,3,1925,7.568,8.276889625
21,3,1925,7.546,8.21261952
22,3,1925,7.512,8.153333731
23,3,1925,7.47,8.0976688
24,3,1925,7.44,8.044920061
25,3,1925,7.384,7.9940194
26,3,1925,7.334,7.942832955
27,3,1925,7.284,7.894229048
28,3,1925,7.234,7.847047037
29,3,1925,7.184,7.801658
30,3,1925,7.128,7.758295846
31,3,1925,7.056,7.71662852
1,4,1925,7.002,7.678169587
2,4,1925,6.943,7.639450755
3,4,1925,6.883,7.599897651
4,4,1925,6.823,7.559791078
5,4,1925,6.768,7.520136159
6,4,1925,6.734,7.482384032
7,4,1925,6.697,7.446624755
8,4,1925,6.66,7.412730175
9,4,1925,6.603,7.38086112
10,4,1925,6.548,7.351324875
11,4,1925,6.516,7.324795891
12,4,1925,6.486,7.301365747
13,4,1925,6.456,7.28068398
14,4,1925,6.426,7.261807998
15,4,1925,6.39,7.243567995
16,4,1925,6.338,7.224492697
17,4,1925,6.306,7.203545311
18,4,1925,6.282,7.180051853
19,4,1925,6.28,7.153999347
20,4,1925,6.274,7.125967321
21,4,1925,6.246,7.096613528
22,4,1925,6.216,7.066600909
23,4,1925,6.186,7.036523326
24,4,1925,6.15,7.006605406
25,4,1925,6.096,6.977073688
26,4,1925,6.057,6.948081382
27,4,1925,6.009,6.919858207
28,4,1925,5.924,6.892484595
29,4,1925,5.932,6.866192638
30,4,1925,5.906,6.841291615
1,5,1925,5.87,6.828332038
2,5,1925,5.818,6.815360765
3,5,1925,5.786,6.803365215
4,5,1925,5.756,6.791815769
5,5,1925,5.709,6.780333155
6,5,1925,5.63,6.768689151
7,5,1925,5.666,6.757188176
8,5,1925,5.67,6.746288115
9,5,1925,5.67,6.736448176
10,5,1925,5.67,6.728052272
11,5,1925,5.664,6.721408447
12,5,1925,5.642,6.716366285
13,5,1925,5.64,6.71285102
14,5,1925,5.634,6.710328678
15,5,1925,5.612,6.708493974
16,5,1925,5.622,6.706888419
17,5,1925,5.678,6.705129752
18,5,1925,5.732,6.702912
